Subject,Predicate,Object
just:item_music,Schema:url,<https://www.youtube.com/watch?v=E6zzpya2FT4>
just:item_music,dcterms:title,Justinian Epic Symphony
just:item_music,schema:composer,wd:Q135142173
just:item_music,schema:datePublished,"""2024"""
just:item_music,schema:encodingFormat,Audio recording
just:item_music,schema:encodingFormat,Video upload
just:item_music,schema:duration,"""PT1H12M"""
just:item_music,dcterms:language,"""la"" "
just:item_music,dcterms:language,"""el"" "
just:item_music,Schema:description,Period and court-style instruments (circa year 1000)
just:item_music,schema:provider,YouTube
just:item_music,schema:provider,Apple Music
just:item_music,schema:provider,SoundCloud
just:item_music,schema:identifier,E6zzpya2FT4
