Subject,Predicate,Object
just:person_Belsarius,dcterms:isReferencedBy,just:item_music
just:person_Belisarius,dcterms:isReferencedBy,just:item_board_game
just:person_Belisarius,dcterms:isReferencedBy,just:item_book_2
just:person_Belisarius,just:isMagisterMilitumOf,just:person_Justinian_I
just:person_Theodora,schema:spouse,just:person_Justinian_I
just:person_Theodora,dcterms:isReferencedBy,just:item_book_2
just:person_Theodora,dcterms:isReferencedBy,just:item_board_game
just:institution_LouvreMuseum,rdf:type,schema:Museum
just:institution_LouvreMuseum,owl:sameAs,wd:Q19675
just:institution_BritishMuseum,rdf:type,schema:Museum
just:institution_BritishMuseum,owl:sameAs,wd:Q6273
just:institution_LouvreMuseum,schema:location,wd:Q142
just:collection_CorpusIurisCivilis,skos:altLabel,"""Codex Pisanus"""
just:collection_CorpusIurisCivilis,dcterms:creator,just:person_Justinian_I
just:item_hagia_sophia,dcterms:type,aat:300007742
just:place_BasilicaDiSanVitale,dcterms:type,aat:300007742
just:place_BasilicaDiSanVitale,owl:sameAs,wd:Q200543
just:concept_GreekUncial,rdf:type,bf:Script
just:place_ByzantineEmpire,just:hasCapital,just:place_Constantinople
just:place_ByzantineEmpire,owl:sameAs,wd:Q7075
just:place_Constantinople,owl:sameAs,wd:Q16869
