Subject,Predicate,Object
just:item_board_game,schema:sameAs,https://boardgamegeek.com/boardgame/22938/justinian-intrigue-at-the-emperors-court
just:item_board_game,schema:name,Justinian: Intrigue at the Emperor’s Court
just:item_board_game,dcterms:creator,just:person_LeoColovini
just:item_board_game,dcterms:creator,just:person_AlessandroSaragosa
just:item_board_game,schema:publisher,just:org_PhalanxGames 
just:item_board_game,schema:publisher,just:org_MayfairGames 
just:item_board_game,schema:datePublished,"""2006"""
just:item_board_game,dcterms:contributor,just:person_HaraldLieske
just:item_board_game,schema:numberOfPlayers ,2–4 players
just:item_board_game,schema:timeRequired,"""PT45M"""
just:item_board_game,just:gameMechanics,"""Bluffing"""
just:item_board_game,just:gameMechanics,"""Influence"""
just:item_board_game,just:gameMechanics,"""Betting"""
just:item_board_game,schema:hasPart,"""Game board"""
just:item_board_game,schema:hasPart,"""Tokens"""
just:item_board_game,schema:hasPart,"""Cards"""
just:item_board_game,schema:hasPart,"""Box"""
