Subject,Predicate,Object
just:item_book_2,dcterms:source,<https://archive.org/details/procopius0001proc/page/n5/mode/2up>
just:item_book_2,rdf:type,bf:Text
just:item_book_2,dcterms:creator,<http://viaf.org/viaf/100179778>
just:item_book_2,dcterms:title,"""History of the wars""@en"
just:item_book_2,dcterms:publisher,"""Cambridge : Harvard Univ. Press"""
just:item_book_2,dcterms:issued,"""1914"""
just:item_book_2,dcterms:identifier,"""procopius0001proc"""
just:item_book_2,bf:identifiedBy,"""1256733539"" "
just:item_book_2,dcterms:subject,<http://id.loc.gov/authorities/names/n79071858>
just:item_book_2,schema:about,just:person_Justinian_I
