Subject,Predicate,Object
just:item_mosaic,dcterms:source,<https://catalogo.beniculturali.it/detail/PhotographicHeritage/0800649118>
just:item_mosaic,crm:P102_has_title ,"""Ravenna - San Vitale - Mosaico con Giustiniano e il suo seguito""@it"
just:item_mosaic,dcterms:created,"""0526/0547"""
just:item_mosaic,crm:P4_has_time-span, wd:Q7075
just:item_mosaic,rdf:type,aat:300015342
just:item_mosaic,crm:P45_consists_of,aat:300010797
just:item_mosaic,dcterms:subject,"""Justinian I and his entourage""@en"
just:item_mosaic,crm:P62_depicts,just:person_Justinian_I
just:item_mosaic,crm:P62_depicts,just:person_Maximianus
just:item_mosaic,crm:P62_depicts,just:person_Belisarius
just:item_mosaic,crm:P55_has_current_location,<https://www.geonames.org/3169561>
